ลำดับ,รายชื่อสถานประกอบการ,สำนักวิชา,หลักสูตร,จังหวัดที่ตั้ง,latitude,longitude
1,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร สาขาต่างๆ,การบัญชีและการเงิน,การเงิน,ปัตตานี,6.854087,101.216555
2,ธนาคารออมสิน สำนักงานใหญ่ และสาขา,การบัญชีและการเงิน,การเงิน,นครศรีธรรมราช,8.459205,99.944961
3,บริษัท คิงเพาเวอร์ อินเตอร์เนชั่นแนล จำกัด,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.781385,100.469559
4,บริษัท เงินติดล้อ จำกัด,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.738525,100.491027
5,บริษัท บริหารสินทรัพย์กรุงเทพพาณิชย์ จำกัด (มหาชน) สำนักงานใหญ่ และสาขา,การบัญชีและการเงิน,การเงิน,ชุมพร,10.45947,99.190515
6,บริษัท ลากูน่า รีสอร์ท แอนด์ โฮเท็ล จำกัด (มหาชน) และบริษัทในเครือ,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.758325,100.486203
7,บริษัท หลักทรัพย์ เอเชียพลัส จำกัด (มหาชน) สำนักงานใหญ่,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.76607,100.512426
8,บริษัท ออนไลน์ แอสเซ็ท จำกัด,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.764205,100.541505
9,บริษัท เอ็ม เอส ไอ จี ประกันภัย (ประเทศไทย) จำกัด,การบัญชีและการเงิน,การเงิน,สงขลา,7.15107,100.457969
10,บริษัท เอ็ม เอส ไอ จี ประกันภัย (ประเทศไทย) จำกัด สาขาชลบุรี,การบัญชีและการเงิน,การเงิน,ชลบุรี,13.39504,101.017612
11,โรงแรม เรเนอซองส์ เกาะสมุย รีสอร์ท แอนด์ สปา,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.101133,99.320281
12,โรงแรม ฮอไรซอน กะรน บีช รีสอร์ท แอนด์ สปา,การบัญชีและการเงิน,การเงิน,ภูเก็ต,7.842367,98.396703
13,โรงแรมเลอ เมอริเดียน เกาะสมุย รีสอร์ทแอนด์สปา,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.148314,99.317565
14,ศูนย์ส่งเสริมการพัฒนาความรู้ตลาดทุน ตลาดหลักทรัพย์แห่งประเทศไทย,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.759075,100.474345
15,สมาคมส่งเสริมผู้ลงทุนไทย,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.718249,100.52099
16,บริษัท ที ซี ซี เทคโนโลยี จำกัด,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.737351,100.474654
17,บริษัท ครอมัลลอย (ประเทศไทย) จำกัด,การบัญชีและการเงิน,การเงิน,ปทุมธานี,14.038034,100.562736
18,ธนาคารออมสิน ภาค 16,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.140512,99.283348
19,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อม สาขาสุราษฎร์ธานี,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.166462,99.327002
20,โรงแรม วินด์แฮม แกรนด์ ในหาน บีช ภูเก็ต,การบัญชีและการเงิน,การเงิน,ภูเก็ต,7.883641,98.411669
21,สำนักงานกองทุนสนับสนุนการเสร้างเสริมสุขภาพ (สสส.),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.746083,100.500791
22,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.79144,100.522072
23,บริษัท บริหารสินทรัพย์กรุงเทพพาณิชย์ จำกัด (มหาชน) สำนักงานหาดใหญ่,การบัญชีและการเงิน,การเงิน,สงขลา,7.176418,100.488168
24,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.743001,100.464419
25,ตลาดหลักทรัพย์แห่งประเทศไทย,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.743442,100.476563
26,บริษัท พีรพัฒน์เทคโนโลยี จำกัด (มหาชน) กรุงเทพมหานคร,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.762379,100.507636
27,บริษัท โทรีเซนไทย เอเยนต์ซีส์ จํากัด (มหาชน),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.76949,100.53427
28,บริษัท หลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.791416,100.530748
29,บริษัทบริหารสินทรัพย์ กรุงเทพพาณิชย์ จำกัด (มหาชน) สำนักงานสุราษฎร์ธานี,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.152997,99.298867
30,BLOCKINVEST GROUP,การบัญชีและการเงิน,การเงิน,ภูเก็ต,7.897666,98.353924
