ลำดับ,รายชื่อสถานประกอบการ,สำนักวิชา,หลักสูตร,จังหวัดที่ตั้ง,latitude,longitude
1.0,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร สาขาต่างๆ,การบัญชีและการเงิน,การเงิน,ปัตตานี,6.877352,101.220041
2.0,ธนาคารออมสิน สำนักงานใหญ่ และสาขา,การบัญชีและการเงิน,การเงิน,นครศรีธรรมราช,8.420343,99.966198
3.0,บริษัท คิงเพาเวอร์ อินเตอร์เนชั่นแนล จำกัด,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.767531,100.504539
4.0,บริษัท เงินติดล้อ จำกัด,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.727635,100.499991
5.0,บริษัท บริหารสินทรัพย์กรุงเทพพาณิชย์ จำกัด (มหาชน) สำนักงานใหญ่ และสาขา,การบัญชีและการเงิน,การเงิน,ชุมพร,10.457492,99.183385
6.0,บริษัท ลากูน่า รีสอร์ท แอนด์ โฮเท็ล จำกัด (มหาชน) และบริษัทในเครือ,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.764914,100.502072
7.0,บริษัท หลักทรัพย์ เอเชียพลัส จำกัด (มหาชน) สำนักงานใหญ่,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.730336,100.507975
8.0,บริษัท ออนไลน์ แอสเซ็ท จำกัด,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.756316,100.479682
9.0,บริษัท เอ็ม เอส ไอ จี ประกันภัย (ประเทศไทย) จำกัด,การบัญชีและการเงิน,การเงิน,สงขลา,7.197515,100.437552
10.0,บริษัท เอ็ม เอส ไอ จี ประกันภัย (ประเทศไทย) จำกัด สาขาชลบุรี,การบัญชีและการเงิน,การเงิน,ชลบุรี,13.368138,100.97441
11.0,โรงแรม เรเนอซองส์ เกาะสมุย รีสอร์ท แอนด์ สปา,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.109185,99.327214
12.0,โรงแรม ฮอไรซอน กะรน บีช รีสอร์ท แอนด์ สปา,การบัญชีและการเงิน,การเงิน,ภูเก็ต,7.918114,98.366118
13.0,โรงแรมเลอ เมอริเดียน เกาะสมุย รีสอร์ทแอนด์สปา,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.167974,99.287486
14.0,ศูนย์ส่งเสริมการพัฒนาความรู้ตลาดทุน ตลาดหลักทรัพย์แห่งประเทศไทย,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.773596,100.527379
15.0,สมาคมส่งเสริมผู้ลงทุนไทย,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.723233,100.50863
16.0,บริษัท ที ซี ซี เทคโนโลยี จำกัด,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.74446,100.501644
17.0,บริษัท ครอมัลลอย (ประเทศไทย) จำกัด,การบัญชีและการเงิน,การเงิน,ปทุมธานี,14.043099,100.518369
18.0,ธนาคารออมสิน ภาค 16,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.10298,99.298622
19.0,ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อม สาขาสุราษฎร์ธานี,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.113928,99.338914
20.0,โรงแรม วินด์แฮม แกรนด์ ในหาน บีช ภูเก็ต,การบัญชีและการเงิน,การเงิน,ภูเก็ต,7.902392,98.373653
21.0,สำนักงานกองทุนสนับสนุนการเสร้างเสริมสุขภาพ (สสส.),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.780396,100.50219
22.0,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.739602,100.474354
23.0,บริษัท บริหารสินทรัพย์กรุงเทพพาณิชย์ จำกัด (มหาชน) สำนักงานหาดใหญ่,การบัญชีและการเงิน,การเงิน,สงขลา,7.145513,100.513116
24.0,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.751029,100.502242
25.0,ตลาดหลักทรัพย์แห่งประเทศไทย,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.726645,100.479525
26.0,บริษัท พีรพัฒน์เทคโนโลยี จำกัด (มหาชน) กรุงเทพมหานคร,การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.777548,100.491168
27.0,บริษัท โทรีเซนไทย เอเยนต์ซีส์ จํากัด (มหาชน),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.749073,100.519901
28.0,บริษัท หลักทรัพย์ ดาโอ (ประเทศไทย) จำกัด (มหาชน),การบัญชีและการเงิน,การเงิน,กรุงเทพมหานคร,13.733367,100.487699
29.0,บริษัทบริหารสินทรัพย์ กรุงเทพพาณิชย์ จำกัด (มหาชน) สำนักงานสุราษฎร์ธานี,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.178128,99.336703
30.0,BLOCKINVEST GROUP,การบัญชีและการเงิน,การเงิน,ภูเก็ต,7.9033,98.384446
31.0,ศูนย์ส่งเสริมอุตสาหกรรมภาคที่ 10 กรมส่งเสริมอุตสาหกรรม,การบัญชีและการเงิน,การเงิน,สุราษฎร์ธานี,9.13712,99.323961
32.0," บริษัท ซิซซา กรุ๊ป จำกัด",การจัดการ,การตลาด,กรุงเทพมหานคร,13.750576,100.516602
33.0,การท่องเที่ยวแห่งประเทศไทย สำนักงานกระบี่,การจัดการ,การตลาด,กระบี่,8.052703,98.931656
34.0,การไฟฟ้าส่วนภูมิภาคสาขาสิงหนคร,การจัดการ,การตลาด,สงขลา,7.178018,100.48319
35.0,บริษัท โกลบอล มารีน เทค จำกัด,การจัดการ,การตลาด,ภูเก็ต,7.863211,98.42816
36.0,บริษัท คอมมูนิตี้ ดีเวลล๊อปเมนท์ จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.723468,100.50582
37.0,บริษัท จัดหางาน จ๊อบบีเคเค ดอท คอม จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.758386,100.514212
38.0,บริษัท ซินเนอร์ไจซ์ โปรไวด์ เซอร์วิส จำกัด,การจัดการ,การตลาด,นนทบุรี,13.873665,100.518154
39.0,บริษัท ซี อาร์ นครศรีธรรมราช (ประเทศไทย) จำกัด ห้างโรบินสันโอเชี่ยน,การจัดการ,การตลาด,นครศรีธรรมราช,8.453386,99.966515
40.0,บริษัท ซีพีเอฟ เรสเทอรองท์ แอนด์ ฟู้ดเชน จำกัด จังหวัดสุราษฎร์ธานี,การจัดการ,การตลาด,สุราษฎร์ธานี,9.165067,99.338424
41.0,บริษัท ซีอาร์ซี ไทวัสดุ สาขานครศรีธรรมราช,การจัดการ,การตลาด,นครศรีธรรมราช,8.435858,99.951548
42.0,บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน),การจัดการ,การตลาด,ภูเก็ต,7.879234,98.419156
43.0,บริษัท เซ็นทรัลพัฒนาดีเวลลอปเม้นท์ จำกัด สาขาสุราษฎร์ธานี,การจัดการ,การตลาด,สุราษฎร์ธานี,9.125625,99.304695
44.0,บริษัท ดุสิต ฟู้ดส์ จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.793647,100.474897
45.0,บริษัท เดอะไซ จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.773026,100.539314
46.0,บริษัท ตัวบรรจงเต็มบรรทัด จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.765884,100.524822
47.0,บริษัท ทีวีไดเร็ค จำกัด (มหาชน),การจัดการ,การตลาด,กรุงเทพมหานคร,13.768032,100.473619
48.0,บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน) สำนักงานบริการลูกค้า นครศรีธรรมราช,การจัดการ,การตลาด,นครศรีธรรมราช,8.450344,99.941435
49.0,บริษัท ธนภูมิ คอนกรีต จำกัด,การจัดการ,การตลาด,สุราษฎร์ธานี,9.119818,99.342822
50.0,บริษัท นครดี.ซี. จำกัด,การจัดการ,การตลาด,นครศรีธรรมราช,8.444947,99.947343
51.0,บริษัท นอร์ม สเปซ จำกัด,การจัดการ,การตลาด,นครศรีธรรมราช,8.436424,99.934907
52.0,บริษัท ปูนซิเมนต์ไทย (ทุ่งสง) จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.778327,100.505834
53.0,บริษัท โปรฟิเซี่ยน เอ็นจิเนียริ่ง จำกัด,การจัดการ,การตลาด,สงขลา,7.156376,100.480617
54.0,บริษัท พีทีจี เอ็นเนอยี จำกัด (มหาชน),การจัดการ,การตลาด,กรุงเทพมหานคร,13.721109,100.463141
55.0,บริษัท โพสเซฟี่ กรุ๊ป จำกัด (ไทย ออปโป้),การจัดการ,การตลาด,กรุงเทพมหานคร,13.784298,100.520457
56.0,บริษัท มีเดียอินเทลลิเจนซ์ จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.791241,100.489141
57.0,บริษัท เมเจอร์ซีนีเพล็กซ์ กรุ้ป จำกัด (มหาชน) เดอะมอล บางกะปิ,การจัดการ,การตลาด,กรุงเทพมหานคร,13.768509,100.467343
58.0,บริษัท ไมเนอร์ คอเปอร์เรชั่น จำกัด (มหาชน) Smart Kids,การจัดการ,การตลาด,กรุงเทพมหานคร,13.718365,100.515234
59.0,บริษัท ยูเนี่ยนนคร จำกัด,การจัดการ,การตลาด,นครศรีธรรมราช,8.452078,99.933414
60.0,บริษัท โรบินสัน จำกัด (มหาชน) สาขาภูเก็ต,การจัดการ,การตลาด,ภูเก็ต,7.89988,98.359524
61.0,บริษัท ลีโอ โกลบอล โลจิสติกส์ จำกัด (มหาชน),การจัดการ,การตลาด,กรุงเทพมหานคร,13.73756,100.506938
62.0,บริษัท เลี่ยนอุดม จำกัด,การจัดการ,การตลาด,ภูเก็ต,7.906824,98.402379
63.0,บริษัท วินไอเอ็มซี จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.722329,100.496402
64.0,บริษัท วีเอ็มดี ออโต้เซลล์ จำกัด,การจัดการ,การตลาด,นครศรีธรรมราช,8.419751,99.957249
65.0,บริษัท สงขลา เอฟซี จำกัด,การจัดการ,การตลาด,สงขลา,7.204345,100.450524
66.0,บริษัท สมศรีการ์เมนท์ จำกัด,การจัดการ,การตลาด,กรุงเทพมหานคร,13.725512,100.470402
67.0,บริษัท สยามทาโก้ จำกัด (TACO BELL สาขาสยามพารากอน),การจัดการ,การตลาด,กรุงเทพมหานคร,13.759847,100.523018
68.0,บริษัท สยามแม็คโคร จำกัด (มหาชน) สาขานครศรีธรรมราช,การจัดการ,การตลาด,นครศรีธรรมราช,8.417477,99.949181
69.0,บริษัท สยามแม็คโคร จำกัด (มหาชน) สาขาสุราษฎร์ธานี,การจัดการ,การตลาด,สุราษฎร์ธานี,9.15859,99.294806
70.0,บริษัท สรรพสินค้าเซ็นทรัล จำกัด สาขาเวสต์เกต,การจัดการ,การตลาด,นนทบุรี,13.886111,100.545872
