ลำดับ,สำนักวิชา,หลักสูตร,
1,สารสนเทศศาสตร์,ดิจิทัลคอนเทนต์และสื่อ 64,
2,การจัดการ,ศิลปะการประกอบอาหารอย่างมืออาชีพ 66,
3,การบัญชีและการเงิน,บัญชี 66,
4,วิทยาศาสตร์,วิทยาศาสตร์,
5,เทคโนโลยีการเกษตร,นวัตกรรรมเกษตร (สัตวศาสตร์),
6,การจัดการ,บริหารธุรกิจ (โลจิสติกส์),
7,เทคโนโลยีการเกษตร,วิทยาศาสตร์อาหารและนวัตกรรม,
8,การบัญชีและการเงิน,เศรษฐศาสตร์,
9,สารสนเทศศาสตร์,นวัตกรรมสารสนเทศศาสตร์ทางการแพทย์,
10,การจัดการ,บริหารธุรกิจ (การตลาดดิจิทัลและการสร้างแบรนด์),
11,รัฐศาสตร์และนิติศาสตร์,นิติศาสตร์,
12,ศิลปศาสตร์,ภาษาไทย,
13,สารสนเทศศาสตร์,เทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัล,
14,การบัญชีและการเงิน,บริหารธุรกิจ (การเงิน),
15,สารสนเทศศาสตร์,ดิจิทัลคอนเทนต์และสื่อ 65,
16,เทคโนโลยีการเกษตร,นวัตกรรมเกษตร (พืชศาสตร์),
17,การจัดการ,ศิลปะการประกอบอาหารอย่างมืออาชีพ 65,
18,การจัดการ,อุตสาหกรรมการบริการ,
19,การบัญชีและการเงิน,บัญชี 64,
20,แพทยศาสตร์,วิทยาศาสตร์การกีฬาและการออกกำลังกาย,
21,รัฐศาสตร์และนิติศาสตร์,รัฐประศาสนศาสตร์,
22,รัฐศาสตร์และนิติศาสตร์,รัฐศาสตร์ (การเมืองการปกครอง),
23,รัฐศาสตร์และนิติศาสตร์,รัฐศาสตร์(ความสัมพันธ์ระหว่างประเทศ),
24,รัฐศาสตร์และนิติศาสตร์,รัฐศาสตร์(อาเซียนศึกษา),
25,วิทยาศาสตร์,วิทยาศาสตร์ทางทะเล,
26,วิศวกรรมศาสตร์และเทคโนโลยี,ปิโตรเคมีและพอลิเมอร์,
27,วิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมคอมพิวเตอร์และระบบอัจฉริยะ,
28,วิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมเคมี,
29,วิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมไฟฟ้า,
30,วิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมโยธา,
31,วิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมเครื่องกล,
32,ศิลปศาสตร์,ภาษาจีน,
33,ศิลปศาสตร์,ภาษาอังกฤษ,
34,สาธารณสุขศาสตร์,อนามัยสิ่งแวดล้อม,
35,สาธารณสุขศาสตร์,อาชีวอนามัยและความปลอดภัย,
36,สารสนเทศศาสตร์,เทคโนโลยีมัลติมีเดีย แอนิเมชันและเกม,
37,สารสนเทศศาสตร์,นิเทศศาสตร์ดิจิทัล,
38,สถาปัตยกรรมศาสตร์และการออกแบบ,สถาปัตยกรรมศาสตร์,
39,สถาปัตยกรรมศาสตร์และการออกแบบ,การออกแบบภายใน,
รวม               ,,,
