ลำดับ,รายชื่อสถานประกอบการ,หลักสูตร,จังหวัดที่ตั้ง
149.0,"Courtyard by Marriott Phuket, Patong Beach Resort",ท่องเที่ยว,โปรดค้นหา
150.0,Melia Hanoi Hotel,ท่องเที่ยว,โปรดค้นหา
151.0,Pullman Kuala Lumpur Bangsar Hotel,ท่องเที่ยว,โปรดค้นหา
152.0,กองบังคับการตำรวจท่องเที่ยว 3,ท่องเที่ยว,โปรดค้นหา
153.0,การท่องเที่ยวแห่งประเทศไทย สำนักงานนครศรีธรรมราช,ท่องเที่ยว,นครศรีธรรมราช
154.0,การท่องเที่ยวแห่งประเทศไทย สำนักงานน่าน,ท่องเที่ยว,น่าน
155.0,คอร์ทยาร์ด บาย แมริออท ภูเก็ตทาวน์,ท่องเที่ยว,ภูเก็ต
156.0,ท่าอากาศยานนครศรีธรรมราช,ท่องเที่ยว,นครศรีธรรมราช
157.0,ท่าอากาศยานนานาชาติสมุย,ท่องเที่ยว,โปรดค้นหา
158.0,นครศรีสเตชั่น ดอทคอม,ท่องเที่ยว,โปรดค้นหา
159.0,นาวากีเทล ดีไซน์ โฮเทล,ท่องเที่ยว,โปรดค้นหา
160.0,บริษัท การบินกรุงเทพ จำกัด,ท่องเที่ยว,โปรดค้นหา
161.0,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) ท่าอากาศยานภูเก็ต,ท่องเที่ยว,ภูเก็ต
162.0,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) ท่าอากาศยานหาดใหญ่,ท่องเที่ยว,โปรดค้นหา
163.0,บริษัท ไทย ไลอ้อน เมนทารี จำกัด จังหวัดสงขลา,ท่องเที่ยว,สงขลา
164.0,บริษัท ไทยมารีน เอ็กซ์คลูซีฟ โวยาจ จำกัด,ท่องเที่ยว,โปรดค้นหา
165.0,บริษัท นิกรมารีน จำกัด,ท่องเที่ยว,โปรดค้นหา
166.0,บริษัท บ้านมัคคุเทศก์ จำกัด,ท่องเที่ยว,โปรดค้นหา
167.0,บริษัท แปซิฟิค เวิลด์ มีตติ้งส์ แอนด์ อีเว้นท์ส (ประเทศไทย) จำกัด จังหวัดภูเก็ต,ท่องเที่ยว,ภูเก็ต
168.0,บริษัท พัทยา เอวิเอชั่น จำกัด,ท่องเที่ยว,โปรดค้นหา
169.0,บริษัท ฟรีดอม ดอลฟิน ไดฟ์วิ่ง จำกัด,ท่องเที่ยว,โปรดค้นหา
170.0,บริษัท โลเคิล อไลค์ จำกัด,ท่องเที่ยว,โปรดค้นหา
171.0,บริษัท สกายเวิลด์ แอดเวนเจอร์ จำกัด,ท่องเที่ยว,โปรดค้นหา
172.0,บริษัท เอเลเฟนท์ ฮิลล์ จำกัด,ท่องเที่ยว,โปรดค้นหา
173.0,โรงแรม เขาหลัก แมริออท รีสอร์ท แอนด์ สปา,ท่องเที่ยว,โปรดค้นหา
174.0,โรงแรม คอนราด เกาะสมุย รีสอร์ท แอนด์ สปา,ท่องเที่ยว,โปรดค้นหา
175.0,โรงแรม คามาลายา จำกัด,ท่องเที่ยว,โปรดค้นหา
176.0,โรงแรม คิมป์ตัน คีตาเล สมุย,ท่องเที่ยว,โปรดค้นหา
177.0,โรงแรม โคโม่ พ้อยท์ ยามู,ท่องเที่ยว,โปรดค้นหา
178.0,โรงแรม เจดับบลิว แมริออท เขาหลัก รีสอร์ท แอนด์ สปา,ท่องเที่ยว,โปรดค้นหา
179.0,โรงแรม ชาเทรียม กรุงเทพ,ท่องเที่ยว,โปรดค้นหา
180.0,โรงแรม เชอราตัน สมุย รีสอร์ท,ท่องเที่ยว,โปรดค้นหา
181.0,โรงแรม แชงกรีล่า เชียงใหม่,ท่องเที่ยว,เชียงใหม่
182.0,โรงแรม ซิกเซ้นส์ สมุย,ท่องเที่ยว,โปรดค้นหา
183.0,โรงแรม ซิกส์เซนเซส เกาะยาวน้อย,ท่องเที่ยว,โปรดค้นหา
184.0,โรงแรม เซ็นทารา รีเซิร์ฟ สมุย,ท่องเที่ยว,โปรดค้นหา
185.0,โรงแรม เซ็นทารา วิลล่า สมุย,ท่องเที่ยว,โปรดค้นหา
186.0,โรงแรม เซ็นทารา อ่าวนาง บีช รีสอร์ท แอนด์ สปา กระบี่,ท่องเที่ยว,กระบี่
187.0,โรงแรม โซ แบงคอก,ท่องเที่ยว,โปรดค้นหา
188.0,โรงแรม ดับเบิ้ลยู เกาะสมุย,ท่องเที่ยว,โปรดค้นหา
189.0,โรงแรม ดุสิต ดีทู อ่าวนาง กระบี,ท่องเที่ยว,โปรดค้นหา
190.0,โรงแรม ดุสิตธานี กระบี่บีชรีสอร์ท,ท่องเที่ยว,กระบี่
191.0,โรงแรม ดุสิตธานี ลากูน่า ภูเก็ต,ท่องเที่ยว,ภูเก็ต
192.0,โรงแรม ดุสิตธานี หัวหิน,ท่องเที่ยว,โปรดค้นหา
193.0,โรงแรม เดอะ ริทซ์-คาร์ลตัน เกาะสมุย,ท่องเที่ยว,โปรดค้นหา
194.0,โรงแรม เดอะ เวสทิน สิเหร่ เบย์ รีสอร์ท แอนด์ สปา ภูเก็ต,ท่องเที่ยว,ภูเก็ต
195.0,โรงแรม เดอะนาคาไอแลนด์ อะลักชัวรี่ คอลเลคชั่น รีสอร์ท แอนด์ สปา ภูเก็ต,ท่องเที่ยว,ภูเก็ต
196.0,โรงแรม ตรีสรา,ท่องเที่ยว,โปรดค้นหา
197.0,โรงแรม ทวินปาล์ม ภูเก็ต,ท่องเที่ยว,ภูเก็ต
198.0,โรงแรม โนราบีช รีสอร์ท แอนด์ สปา,ท่องเที่ยว,โปรดค้นหา
199.0,โรงแรม บันยันทรี กระบี่,ท่องเที่ยว,กระบี่
200.0,โรงแรม บันยันทรี เกาะสมุย,ท่องเที่ยว,โปรดค้นหา
201.0,โรงแรม แบงค็อก แมริออท มาร์คีส์ ควีนส์ปาร์ค,ท่องเที่ยว,โปรดค้นหา
202.0,โรงแรม ปานวิมานเชียงใหม่ สปา รีสอร์ท,ท่องเที่ยว,เชียงใหม่
203.0,โรงแรม พาร์ค ไฮแอท กรุงเทพ,ท่องเที่ยว,โปรดค้นหา
204.0,โรงแรม พิมาลัย รีสอร์ท แอนด์ สปา,ท่องเที่ยว,โปรดค้นหา
205.0,โรงแรม พี พี เอราวัณ ปาล์ม รีสอร์ท,ท่องเที่ยว,โปรดค้นหา
206.0,โรงแรม โฟร์ซีซั่นส์ รีสอร์ท เกาะสมุย,ท่องเที่ยว,โปรดค้นหา
207.0,โรงแรม โฟร์พ้อยท์ บาย เชอราตัน ภูเก็ต ป่าตองบีช รีสอร์ท,ท่องเที่ยว,ภูเก็ต
208.0,โรงแรม ภูเก็ต แมริออท รีสอร์ท แอนด์ สปา ในยางบีช,ท่องเที่ยว,ภูเก็ต
209.0,"โรงแรม ภูเก็ตแมริออท รีสอร์ท แอนด์ สปา, เมอร์ลิน บีช",ท่องเที่ยว,ภูเก็ต
210.0,โรงแรม มีเลีย เกาะสมุย,ท่องเที่ยว,โปรดค้นหา
211.0,โรงแรม รอยัล ออคิด เชอราตัน,ท่องเที่ยว,โปรดค้นหา
212.0,โรงแรม รายาวดี,ท่องเที่ยว,โปรดค้นหา
213.0,โรงแรม เรเนอซองส์ ภูเก็ต รีสอร์ท แอนด์ สปา,ท่องเที่ยว,ภูเก็ต
214.0,โรงแรม โรสวูด ภูเก็ต,ท่องเที่ยว,ภูเก็ต
215.0,โรงแรม เลอ เมอริเดียน เขาหลัก,ท่องเที่ยว,โปรดค้นหา
216.0,โรงแรม เลอ เมอริเดียน ภูเก็ต บีช รีสอร์ท,ท่องเที่ยว,ภูเก็ต
217.0,โรงแรม วนาเบล อะ ลักซูรี่ คอลเล็คชั่น รีสอร์ท เกาะสมุย,ท่องเที่ยว,โปรดค้นหา
218.0,โรงแรม วี วิลล่า ภูเก็ต,ท่องเที่ยว,ภูเก็ต
219.0,โรงแรม ศิลาวดี พูล สปา แอนด์ รีสอร์ท,ท่องเที่ยว,โปรดค้นหา
220.0,โรงแรม สยาม แอ็ท สยาม,ท่องเที่ยว,โปรดค้นหา
221.0,โรงแรม สันติบุรี บีช รีสอร์ท แอนด์ สปา,ท่องเที่ยว,โปรดค้นหา
222.0,โรงแรม อนันตรา บ่อผุด รีสอร์ท แอนด์ สปา เกาะสมุย,ท่องเที่ยว,โปรดค้นหา
223.0,โรงแรม อนันตรา ไม้ขาว ภูเก็ต วิลล่า,ท่องเที่ยว,ภูเก็ต
224.0,โรงแรม อนันตรา ลายัน ภูเก็ต รีสอร์ท,ท่องเที่ยว,ภูเก็ต
225.0,โรงแรม อนันตรา ลาวาณา เกาะสมุย รีสอร์ท,ท่องเที่ยว,โปรดค้นหา
226.0,โรงแรม อวานี เฉวง สมุย โฮเทล แอนด์ บีชคลับ,ท่องเที่ยว,โปรดค้นหา
227.0,โรงแรม อังสนา ลากูน่า ภูเก็ต,ท่องเที่ยว,ภูเก็ต
228.0,โรงแรม อินดิโก้ ภูเก็ต ป่าตอง,ท่องเที่ยว,ภูเก็ต
229.0,โรงแรม อินเตอร์คอนติเนนตัล กรุงเทพ,ท่องเที่ยว,โปรดค้นหา
230.0,โรงแรม เอ็นเอช โบ๊ทลากูน ภูเก็ต รีสอร์ท,ท่องเที่ยว,ภูเก็ต
231.0,โรงแรม ไอดีลลิค คอนเซปต์ รีสอร์ท เกาะหลีเป๊ะ,ท่องเที่ยว,โปรดค้นหา
232.0,โรงแรม ฮอลิเดย์ อินน์ รีสอร์ท กระบี่ อ่าวนางบีช,ท่องเที่ยว,กระบี่
233.0,โรงแรม ฮอลิเดย์ อินน์ สมุย บ่อผุด,ท่องเที่ยว,โปรดค้นหา
234.0,โรงแรม ไฮแอท รีเจนซี่ เกาะสมุย,ท่องเที่ยว,โปรดค้นหา
235.0,โรงแรมพูลแมน ภูเก็ต พันวาบีช รีสอร์ท,ท่องเที่ยว,ภูเก็ต
236.0,โรงแรมรายาวดี,ท่องเที่ยว,โปรดค้นหา
237.0,โรงแรมศรีพันวา ภูเก็ต,ท่องเที่ยว,ภูเก็ต
238.0,โรงแรมอมัน นายเลิศ กรุงเทพฯ,ท่องเที่ยว,โปรดค้นหา
239.0,โรงแรมอมันปุรี รีสอร์ท,ท่องเที่ยว,โปรดค้นหา
240.0,โรงแรมอมารี ภูเก็ต,ท่องเที่ยว,ภูเก็ต
241.0,โรงแรมอวานีพลัส สมุย รีสอร์ท,ท่องเที่ยว,โปรดค้นหา
242.0,โรงแรมอินเตอร์คอนติเนนตัล เกาะสมุย รีสอร์ท,ท่องเที่ยว,โปรดค้นหา
243.0,สถานีตำรวจท่องเที่ยว 1 กองกำกับการ 2 กองบังคับการตำรวจท่องเที่ยว 3,ท่องเที่ยว,โปรดค้นหา
244.0,สถานีตำรวจท่องเที่ยว 4 กองกำกับการ 2 กองบังคับการตำรวจท่องเที่ยว 3,ท่องเที่ยว,โปรดค้นหา
245.0,สวนพฤกษศาสตร์สมเด็จพระนางเจ้าสิริกิติ์ องค์การสวนพฤกษศาสตร์,ท่องเที่ยว,โปรดค้นหา
246.0,สำนักงานปลัดกระทรวงการท่องเที่ยวและกีฬา,ท่องเที่ยว,โปรดค้นหา
